Strike,Type,MarketPrice,TimeToExpiry
22.0,call,7.85,0.013689253935660506
27.0,call,3.075,0.013689253935660506
28.0,call,1.1,0.013689253935660506
28.5,call,0.7250000000000001,0.013689253935660506
29.0,call,0.425,0.013689253935660506
29.5,call,0.22499999999999998,0.013689253935660506
33.0,call,0.55,0.013689253935660506
26.0,put,0.19999999999999998,0.013689253935660506
27.0,put,0.15000000000000002,0.013689253935660506
28.0,put,0.325,0.013689253935660506
28.5,put,0.3,0.013689253935660506
29.0,put,0.575,0.013689253935660506
31.0,put,1.875,0.013689253935660506
21.0,call,8.5,0.03285420944558522
27.0,call,3.0,0.03285420944558522
29.0,call,0.625,0.03285420944558522
30.0,call,0.275,0.03285420944558522
31.0,call,0.125,0.03285420944558522
33.0,call,1.15,0.03285420944558522
28.0,put,0.325,0.03285420944558522
29.0,put,0.675,0.03285420944558522
30.0,put,1.35,0.03285420944558522
29.0,call,0.8,0.05201916495550993
30.0,call,0.425,0.05201916495550993
31.0,call,0.22499999999999998,0.05201916495550993
27.0,put,0.275,0.05201916495550993
30.0,put,1.4500000000000002,0.05201916495550993
